idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
5816,90.0,7.0,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1994,60,Male,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",35.0,37.0,37,37000.0,35000.0,61.0
7251,300.0,5.0,Yes,Dansk Folkeparti - Danish People's Party,1993,40,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,32.0,34,22000.0,30000.0,68.0
7887,360.0,8.0,Yes,Socialdemokratiet - The Social democrats,1983,55,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",25.0,39.0,39,36000.0,42000.0,89.0
9607,540.0,9.0,Yes,Alternativet - The Alternative,1982,64,Female,1964,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",13.0,32.0,34,32000.0,,50.0
11688,,5.0,Yes,Socialdemokratiet - The Social democrats,1968,50,Female,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",2.0,37.0,37,,,77.0
12355,120.0,5.0,Yes,Socialdemokratiet - The Social democrats,1987,60,Male,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,38.0,37,36000.0,38000.0,48.0
16357,488.0,5.0,Yes,Dansk Folkeparti - Danish People's Party,2013,50,Male,1991,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4.0,37.0,37,40000.0,,50.0
17504,210.0,4.0,Yes,Dansk Folkeparti - Danish People's Party,2001,45,Female,1984,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,,10,,,51.0
19970,240.0,9.0,Yes,Liberal Alliance - Liberal Alliance,1984,60,Female,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21.0,36.0,36,85000.0,,42.0
20724,60.0,5.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1981,Never too young,Male,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,37.0,40,28000.0,34000.0,65.0
22248,121.0,9.0,Yes,Socialdemokratiet - The Social democrats,1970,Never too young,Female,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19.0,37.0,37,,,62.0
24928,120.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1984,Should never retire permanently,Male,1965,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19.0,,80,50000.0,,77.0
27000,390.0,5.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1971,65,Male,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12.0,,60,90000.0,,51.0
27211,120.0,7.0,Yes,Kristendemokraterne - Christian Democrats,1983,60,Male,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16.0,15.0,17,26000.0,,99.0
28202,60.0,7.0,Yes,Det Radikale Venstre - The Radical Liberal Party,2007,60,Male,1990,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17.0,37.0,45,28000.0,35000.0,56.0
29156,,8.0,Yes,Dansk Folkeparti - Danish People's Party,1944,60,Male,1932,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,60.0,60,,,88.0
29471,240.0,8.0,Yes,Det Radikale Venstre - The Radical Liberal Party,1984,50,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16.0,42.0,42,40000.0,45000.0,46.0
31317,60.0,6.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1970,62,Female,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",5.0,37.0,37,,,68.0
32191,90.0,8.0,Yes,Socialdemokratiet - The Social democrats,1964,60,Female,1956,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16.0,37.0,37,34500.0,40000.0,80.0
33174,45.0,9.0,Yes,Alternativet - The Alternative,1970,55,Male,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18.0,30.0,32,,,50.0
33307,720.0,7.0,No,,2013,48,Male,1991,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17.0,20.0,20,,,68.0
34446,90.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1998,60,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15.0,37.0,37,25000.0,30000.0,59.0
34955,240.0,6.0,Yes,Socialdemokratiet - The Social democrats,1980,50,Female,1963,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,37.0,37,33000.0,,61.0
38221,240.0,7.0,Yes,Socialdemokratiet - The Social democrats,2000,45,Female,1982,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15.0,30.0,30,24000.0,35000.0,61.0
